id,screen_name,description,label
280175586,nunziapenelope,"Ho vissuto, per un troppo breve periodo, in un paese civile. (Giornalista, scrittrice, romana, europea, europeista. E ripeto: europea, europeista) 🇪🇺",human
2704478260,ImparatoPasqual,,bot
728911567589363712,DENISA_NH14,"17y//1D//Mendes Army//LG(B)T🏳‍🌈//FOOTBALL⚽// 
Treat People With Kindness. 💕",human
840552254851678211,FEHTakumi,"I’m a chat bot, ask me anything! 🙌🏻 // Made with 💖 by @Aregustv // Parody Account not affiliated with Nintendo.",bot
785397318,ValterRimini,Sempre a testa in su...A riveder le stelle!,human
797499926594908160,Gvccij,Pick someone who is supportive🦋,human
135547288,VinceMaielli,"Nato nelle Puglie, Foggia. Vivo nella Pianura Padana. Cuore di Lupo che lotta con la vita, infinita prigione e gelida come la Steppa, e con sè. Gobbo ◻️◼️ 🐺🐾",human
2930775934,GiuliettaSkype,,bot
1011987366582603776,Funghetti4,,bot
630459182,67Malaguti,SONO PER LA DEMOCRAZIA  L'ONESTÀ LA CORRETTEZZA LA SINCERITÀ E SOPRATTUTTO PER L'ITALIA LA SUA CULTURA E I SUOI PATRIMONI,human
830818718703837187,Joker12953,,bot
2772451794,LorettaLORI3,,bot
825987115662065664,migliavs,,bot
2864751126,davideberg68,"non ho paura del confronto non blocco nessuno solo perche non la pensa come me, e chi mi blocca sono proprio quelli che vogliono lasciare aperto tutto a tutti.",human
422025735,paolamietto,Dott.Commercialista e Revisore dei Conti - Esperta nell'applicazione delle procedure di esdebitamento-come liberarsi dei debiti che non si riesce piu' a pagare,human
4549685356,enzarella2,,bot
526391347,raffa_brigante,,bot
344159343,marosa259,,human
876795381841100801,Odiotuttigioia,"1. Mai essere serio. 2. Mai andare a rompere il cazzo a qualcuno, per quanto stupido sia. 3. Mai lasciare che qualcuno che rompe il cazzo a me la passi liscia😂.",bot
826576741506355203,Verbena35,,bot
704820933027045376,fitti1988,"JUVENTUSTYLE. Onore e lunga vita alla gloriosa Curva Sud Scirea. #FinoAllaFine 🏳🏴
Manu Ginobili is my god. #GoSpursGo
Virtus Vu Nere.",human
1891849693,BoselliMarisa,non sopporto l'incoerenza! nemica di tutto ciò che grava suoi deboli!,human
932924905,EMZONERI,,bot
2998555053,GSpasmo,,bot
596665906,faberskj,"i'm a lawyer, i’m a scorpio. and my heart is blonde",human
2729708935,MyHappiness1Dhs,"«Nessuno deve essere lasciato indietro: né italiani, né rom, né africani, né qualsiasi tipo di persona»",human
2363684405,AlessioFraumene,,human
1012294396526710784,Vote1D70522235,,human
251194177,wasitjustalie,"Solo les quiero decir,nunca los voy a olvidar.
26.01.14//24.01.15//05.06.15 Left my heart in Millennium Stadium,Cardiff.",bot
606417584,CannovaV,Suonatore di launeddas........Cornista presso banda musicale brigata Sassari..... Instagram: https://t.co/ZDc7dPvweE,human
804847281417633792,vezzosauro_ale,,bot
504476597,Stegallio8,"moglie, figlia, zia, milanista, diversamente esperta, scienziata della comunicazione prestata alla pubblica amministrazione",human
327894673,elena2613,,bot
2918691515,Cat2014_Believe,La musica è per l'anima ciò che le parole sono per la mente.,bot
1012302562660405248,Holaa63146637,,bot
2950152521,loririlolo,,bot
968459856,PaoloProsdocimi,Commercialista ed appassionato di politica,human
1571230602,Giulia_1D_LM,@onedirection~29.06.14❤️,human
856380782847422464,Pegasofree777,Mai discutere con un idiota. Ti trascina al suo livello e ti batte con l’esperienza. O.Wilde,human
750962994100707328,psacrewIT,,bot
831862062833876993,paopia64,,bot
831161868614004741,ZiaGuerriera,,bot
523625151,kssdhr,"🕊🇮🇹🇺🇸🇷🇺🇨🇳🕊 Pd=🤡
No U.E end the fed gold standard",human
3107788774,Pesce98Vittoria,,bot
761296330903916545,Maria_Letizia_,𝓑𝓪𝓼𝓽𝓪 𝓽𝓪𝓬𝓮𝓻𝓮 𝓹𝓮𝓻 𝓿𝓸𝓵𝓮𝓻𝓼𝓲 𝓫𝓮𝓷𝓮,human
3092010165,GioLuna64,Come un girasole🌻... il sole☀️ sempre il sole ☀️sempre il sole☀️...🌻🌻🌻 Ritweetto di bello e... qualche volta tweetto 😀😃,human
3182660278,francorosaria13,,bot
883724976158887938,69Nique,,bot
438476133,trepazia,"Gli dei hanno dato agli uomini due orecchie e una bocca, per poter ascoltare il doppio e parlare la meta'. (Talete)",human
2158759025,citro_rosa,,bot
1698808080,AngiSvezia,,bot
974981520984346626,Derire2,Arte e Cultura Musica Informazione,bot
1013753576,betta_andrioli,Giornalista,human
926348944686419968,HababaAlaa,Ben. işimi. seviyorum. boya. deresi,human
265347584,mari_posaazul,•You and me got a whole lot of history We could be the greatest team that the world has ever seen• |05/09/2013| 💘 |3💙9💚13|,human
2413775282,Niurant,"Sempre e comunque dalla parte della civiltà,sempre e comunque dalla parte della pace, sempre e comunque senza insultare, ma voi fate pure...
#facciamorete",human
950833130948177920,Lelepaolo1,Peugeot,bot
732212397654609920,CRPFRASCATI,"Il punto di riferimento per l'auto dei Castelli Romani. Vendita veicoli nuovi e usati,assistenza Peugeot,assicurazioni, finanziamenti,lavaggio, noleggio auto",bot
951241980859830272,LouisT_Promo_,"◟̽◞̽ LOUIS TOMLINSON ◟̽◞̽ PROMO . . . . . . . . . . . . . _Shit, maybe I miss you_",human
205354640,ticchiolina,Laureata in Legge di Murphy,human
1000424874194690048,xoxo_giuly_,•Just a girl who believes in the power of music•,human
438798142,ZzuCicciu,"Πολλοί λένε, λίγοι γνωρίζουν",human
2452764372,rarimani,"nata a Milano appassionatamente innamorata di progetti utopici, narratrice  poetica perennemente in ascolto dell'universo",human
827909004923801600,Caranoemitw,,bot
734396807745286145,11dreams_,"be a lover, give love, choose love, always.",human
262893816,missingsmth,"'Let yourself be beautiful' 💛
'È l'amore quello che ci salva'",human
2764705943,beauty0fsilence,"I'm lost, I'm vain, I will never be the same without you",bot
831961066313773058,lorellacan,,bot
470253363,zia_eli,,bot
460216069,so69ny,"adoro il calcio, pur capendoci poco...amala!",human
1153738128,ggarigli,"INTERISTA DOC,AMO CAVALLI E TUTTI GLI ANIMALI.NATURALMENTE  LE DONNE,LA CUCINA SICULA ,,,",bot
448110696,GabriPobega,Se leggi...i tuoi viaggi non finiscono mai...,bot
2890342662,1DLads4Life,"Welcome (*^▽^*) LADS (League of Amazing Directioners)
Please vote 1 Direction for Best Fandom category at Teen Choice 😊
Follow me I'll follow you back 🔁",human
517747193,coccio2001,"Genova, yacht e cantieri, Sampdoria, mugugno vario",human
2153829339,garbugli_la,"Sono poche le cose che riesco a prendere sul serio,e,Twitter nn è fra queste-Divieto d’accesso per:fasciogrilloleghisti,omofobi,razzisti",human
961661021017518086,patri_well,Non so quale Dio ti ha fatto così nobile e moderno molta gente mi ha guardato solo dall'esterno...,bot
825675893741846528,Anna33120263,,human
1012063518659698690,Bastardisemibl1,,human
922835518756474880,InterForEver71,Sono contro l’illegalità quindi ogni riferimento ai gobbi è fortemente voluto,human
327674514,Fiffistefy,Apparire e non essere è come filare e non tessere,bot
855136163849482240,Dudda_Novizia,,bot
3039154799,00_matilde,••TEEN WOLF//SKAM//SHAMELESS••Il mio livello di sarcasmo è arrivato al punto in cui non so neanche io se scherzo o sono seria.,human
1704716070,1D_ilmiosogno,28/06/14-04/04/18-06/05/18.,human
306412249,Caracciolo93,,human
193317159,Vito_Salvo,,human
761376188,lavitamiglior3,“ Camminare fa passare ogni tristezza. Ti va di passeggiare insieme? “,human
1012447780504326145,1D39191230,(#ProjectInfinity)VOTE 1D Best Fandom Teen Choice! ALSO Happy 8 YEARS! (currently crying... in a cool way) 💚💙,human
2181109997,b_baolo,"Italiano, al trombone rispondo con la trombetta.
Non mi serve refollow, non sbattetevi",human
895869750,akobsara,✈️🌍 life is short and the world is wide,human
996455315796262916,Chourou04946447,,bot
560954476,GiuseppinaFarin,,bot
702789675619061761,Snari1979,mitico viva gli animali,bot
438646069,gaelle14juillet,"giornalista - redattrice rubriche religiose RSI e « Voce evangelica » - #religioni #laicità #diritti CH/Italia/ Europa/Mondo, cinguetto a titolo personale",human
3072516610,ianna63,"osare sempre cmq oltre l'impossibile 
crederci sempre arrendersi MAI",human
2298056467,AnnaDream74,"Nella vita non contano i passi che fai, né le scarpe che usi... Contano le impronte che lasci.",human
704993843293331456,unidosxdali,"🌸 Te miro y te elijo sin pensarlo dos veces, y si lo pensara dos veces te volvería a elegir 🌸",bot
132962832,ManuBoniPH,"Un fotografo sognatore che ha per casa un arcobaleno e per sogno il mondo. Tifoso #9ty9supporter
Campione 2016 e 2018 di #sorpassidaldivano",human
2985794427,MariaHelena_ts,,bot
202206667,GiulianaPoce,,bot
826850430185590786,Stellacdolce,,bot
327555253,ElenaLvdzdv,,bot
2591240449,annarosa701,nel bene e nel male sono sempre me stessa e ...spesso me ne pento,bot
560604863,MonicaDieci,,bot
1011632355419844608,Martinalucconi1,,bot
1010882400325431298,1dreactionpic1,💕💘💖💗💓💞💝,human
2962604531,ae6b1d98c461462,"Amo la vita
amo rispettare il prossimo
amo essere rispettato 
la donna è meravigliosa vita",human
1063319761,AlteaFerrari,"Dinamica, estroversa, solare. Amante viaggi, mare, lingua inglese😍
  Se giudichi le persone non hai tempo per amarle💕   ""A day without a smile is a lost day""🌷",human
518642028,VeronicaFilia,,bot
548914113,Mary_Jack69,"...Ora lo so...ESISTI TU...Tu sei l'aria che sto respirando...ed è una vita che io...sono in cerca di Te...ma Tu sei più di quanto aspettavo...
VALERIO SCANU",bot
840241477,annalisabi76,"A tavola perdonerei chiunque, anche i miei parenti O.Wilde In un’altra vita avevo paura dei gatti https://t.co/JwfsyRWP0T",human
910893710308724743,Paola232220,Amo cantare❤️🎤 spero di poter diventare cantante🎤😍BENJI E FEDE TUTTA LA MIA VITA❤️ 22/07/2017-10/03/2018❤️,human
2485742076,Krentak,,human
4908982317,cifra73,"Non smetto mai di avere paura, non smetto mai di trovare coraggio.",human
357063589,massimosideri,Editorialista Corriere della Sera e responsabile Corriere Innovazione - Libro: La Sindrome di Eustachio (Bompiani) - Docente Master Scicomm @unitrento,human
2983905783,allylardo,,bot
1004050570494259201,tomestherlinson,,human
1337678305,IndieGameTrends,I'll retweet everything with #indiewatch  and #indieGameTrends. Feed me da tweets!,bot
197284836,Noviolenzadonne,"Internationalist, anti racist, anti zionist, anti violence, anti imperialist, anti  capitalist, radical/intersectional feminist blog account",human
834889075337400320,MissAmnesia23,"«...Sulla schiena trovi cicatrici, è lì che ci attacchi le ali.»",bot
825731362179149824,Stella_Perlina,Se puoi sognarlo puoi farlo 💖,bot
932243210277130240,Patrizia22851,,bot
902535078,Shar_FedeRossi,"PCC: Preparazione, Concentrazione, Convinzione",human
2992469811,brunetta_8,,bot
950827317571608576,mariorossi19444,,bot
327555341,56_nico,Donna-chi si ferma è perduto!!!,bot
2349112225,GABRIELLAMARA2,,bot
950483930003771392,Il_Pannocchia1,,bot
855102334875172866,Celica_FE,,bot
856884030,RenatoPradal,INNERES AUGE....Il tutto è più della somma delle sue parti......,human
239861947,Halena85,Non è bello ciò che bello ma è bello ciò che piace !,human
82659565,emmemea,"Journalist Il Sole 24 Ore (@sole24ore), columnist - Da lunedì a venerdi alle 11 con Debora Rosciani a @2didenari @Radio24_news",bot
875005129103200257,zilianisky66,"p.s. la sig.ra pedrotti, di cui ho messo foto, non centra nulla !!
e sono 7 anni che si vince alla grande....
sempre forza juve e intermerda....",human
923565203253579776,PaolaBozzetto,,bot
1244668758,CAusoni,Sono tutti keynesiani con i soldi degli altri. (cit.),human
966343682,EmyScanu,,bot
4358227817,sorciusbarbutus,,bot
431089246,santilligia,"Romano, democratico, liberale, europeista. Credo in una politica pulita, giusta e onesta. P.S. Non faccio il politico di professione, ho un lavoro. E studio.",human
1154282738,1IlMigliore,I governi tecnici sono i peggiori governi politici che si possa immaginare. Il loro scopo è fare il contrario di ciò che la sovranità popolare ha indicato.,bot
2989418577,ILgrandeRIO,,bot
801152682702622720,limar1964,,human
720666928055001088,1DSTATSVOTESL,@darenialls voting account,bot
4701456854,Ti_Amo_Harry,@Harry_Styles  💕28-06-14💕,human
559917335,launizzo,"Mi chiamo Laura e vengo da Pavia! Sono una ragazza dolce, solare, socievole, allegra, e sincera! Amo la Musica e ho una grandissima passione per Valerio Scanu!",bot
868401085802852352,BooandHazz1,,bot
391505537,AleQuinto1,"Educatore professionale e Coordinatore politiche giovanili. L’educazione comincia dalla consapevolezza che “cambiare è difficile, ma è possibile”.",human
963823970507214848,MatteoArnabold1,,bot
726108618051997696,HondaClaudio,super tifoso di Valentino Rossi e Juve e bergamasco,human
2780612193,THESlGNOFHARRY,"when they say you can’t do it, do it twice and take pics",bot
4297819397,_Meelaanie_1D_,"Directioner is a PROMISE 
one direction ❤❤❤❤❤
10.06.15❤ 17.05.18❤
8 Amazing years

troppi fandom per elencarli tutti
music concert❤🎶🎉
love acting 🎬",human
970583174349840384,BrokLiljas,Editoria Politica Organizzazioni no profit Arte Governo & Istituzioni Notizie Cinema Ambientalismo Scienza Tecnologia,human
242327193,sacchetico,Torna #Sacchetico dedicato a #legalità. Partner @bancaetica @consorziocaes @sarvexit @polycartspa @materbi @Coop_ventuno @sisifosrl info@sacchetico.it #En13432,human
228744087,vivitanie,"♡ Kindness never goes out of style ♡

                       ≈ multifandom ≈",bot
4874146875,giunta2016,,bot
2799576867,DelbonoRoberto,"Laureato in Ing. Nucleare,ing. di professione, 👨🏼‍💻maniac, NBA lover e soprattutto Lakers fan. Idoli: Kobe Bryant, Roger Federer e Tom Brady",human
811246201794338818,_martydreamer01,"~ Fan account ~
Benji e Fede❤4 instore & 3 concerti❤
Federica❤️1 evento,3 instore & 1 concerto❤️
Riki❤️1 evento,2 instore & 1 concerto❤️
Riki's follow 20/06/17❤",human
2306559009,stefaniamassim2,,human
585091018,Ab1Disce0mnis,"Padre, antifascista, antipopulista, italiano, ottimista...romanista. 
Prima i vulcaniani 🖖🏼
#facciamorete #FBPE #SiamoEuropei",human
302125749,__Spiderlily__,"Gran Maestra della Nobile Arte del Complicarmi la Vita.
A Vespertilian thing... 
Team #Pezzaccio tessera n.4",bot
788038456274522112,Rosamar70892339,,bot
603005791,EneaMoscon,Entusiasta. Ottimista. Innamorato di @ilaria_serati,human
1714082910,JessicaTzn,La pittura è tutta la mia vita.Tiziano Ferro è il mio idolo tanto che ho una sua frase incisa sulla mia pelle: Il sole esiste per tutti.. 🎨❤,human
3245545312,simona83imperia,,bot
995292937662664704,Valentinaserot4,Amo solo mirko  trovato,human
1000463684945240064,an1Daddiction,"When they’re not together ,we can just imagine they are. Can’t we? I miss my 5 British and Irish idiots together so much. |ZM||HS||NH||LT||LP| [fan acc]",human
2982795550,Gianniontheroad,,bot
423240463,GiusiRiccobono,,bot
3102059566,NovellaPiazzi,,bot
4030954341,heavenloueyes,I love one (1) band @onedirection ❱❱❱❱,human
340600489,il_giga,,human
202588307,danysca22,,bot
2396162744,florianademiche,"Sono Psicologa e Psicoterapeuta, sono amante dei viaggi della musica della pace tra vicini e lontani della giustizia",human
70741097,lorenzlu,"Motociclista da 45 anni, interista da 53",human
825700436766314497,Seilamiacanzone,"Amo la musica, quella vera, senza filtri. 
Quella che arriva diritta al cuore.",bot
2905469547,LeCom_,"'O mi stupisci, o stai al tuo posto' 🔥🌼",human
2984109993,RedsRita,Punta in alto perché è lì che si trovano le stelle..,bot
974977485183037441,luciolavezza,Arte e Cultura Artisti Italiani Musica,bot
808272326324342785,ToniSonia,Pentastellata. Animalista. Sovranista. Insulti e riferimenti alla mia famiglia saranno bloccati. Idem piddini facciamorete e stracci blu 🇮🇹♥️,human
873916630828494848,Vincenz72741158,Segretario di Taranto e provincia del movimento idea sociale,bot
785477139235741696,hrhmaxmartian,i miei maestri sono stati il maestro yoda e il mago forest (non nell ordine) ecco perché sono il tweeter più letto nei peggiori bar di Caracas,human
25851958,Yattaran,Io quando avevo vent'anni ero uno stronzo.,human
390617262,0Claudia9,,bot
3223929605,TornareAcasa,,human
202305873,BrunaVerutti,,bot
2350026720,circeanna,"L'amore non è un problema come non lo è un veicolo... problematici sono soltanto il conducente, i viaggiatori e la strada.",bot
548662037,Elly15vs,"- Hi! I'm Elisa 🙋🏼🇮🇹 - Foreign Languages, Cultures, Literatures and Translations student at @SapienzaRoma 🇬🇧🇷🇺📚- if nothing goes right, go left -",bot
839937500101627904,DeiaDerosas,,bot
3489637217,_Vylmax,Never apologize for being yourself.,bot
17880873,paoloross,"Grazie per l'attenzione, a voi la linea.",human
990324412841889798,RitaGiasone,,bot
908709155137032192,ziaiaia3,"Nessuno scoglio può arginare il mare. Segni particolari: negata per la retromarcia
NO DM📌",human
2976241827,Gimar95,"Giurisprudenza. Appassionato di calcio, cuore bianconero. ⚽️⚫️⚪️",human
333431378,FilippoDuo,"""È un super potere essere vulnerabili"" 🔥",human
898599853546242048,Trasparente_,Da bambina volevo guarire i ciliegi.,human
2732253563,sunlaughxz,Lara🌞 || proudly bi,human
2806416940,novellapiazzi1,,bot
22009205,ceranto,,human
50265477,desimonem,,human
1924501530,MomiraMonika,"Interested in: Border area between Philosophy and Physics, Origin of Life, Literature, Arts, Photography ♌️ - Where is a form, there is a soul - Pessoa",bot
974980320721240064,kasiamilla,Musica Artisti Italiani Personaggi Web Artisti Stranieri,bot
965638639345655809,vaccarellimann1,in direzione ostinata e contraria- account #desalvinizzato #demelonizzato #degrillinizzato #derenzizzato #demoralizzato☹️,human
3211470245,annatic1,,bot
999977095106367488,larrysd4ughter,call me by your name & i call you by mine,human
2929725533,lorettalo22,,bot
778859243655012352,pietro_pascali,,bot
1362279283,DomenicoFurioso,"Ambidestro (o ambisinistro) in tutto e per tutto. Pensiero laterale. Mi domando il perché delle cose: la risposta è quasi sempre razionale, ma non etica.",human
1012332423290478593,LefossettediNH,"06/05/2018 N.H
We took a chonce",human
561948464,dani89vs,,bot
3017805851,elisabettaragg1,,bot
2919964222,giannalecca1,,bot
702253149189439488,LaVolage,"Inadatta a questo mondo, mi ostino a prendere tempo e spazio. 
Rt is not endorsement",human
838435964922052608,Girasole572,Ciao,bot
2921277910,lisettaliz,,bot
4353158674,EmilynotRata,Nessuno mi paga per scrivere i tweet. Purtroppo.,human
771685684738482176,danyelaciriaco,goth angel sinner 🏹 Fan account. 💔🐣,human
981636477292564480,Anna2340531163,,bot
1268082668,MarcellaMelodia,Cristiana. Entusiasta magistero Papafrancesco che allieta mia vecchiaia. Cittadina Europea nata a Roma il 12/04/1930,human
2985880540,Viola_rossa3,,bot
867072457215279104,BiancaCartei,ricordati di splendere sempre,human
839185313461305344,vins_prince1982,,bot
1003160464543510528,MyHappiness1D1,"anusha directioner 😍
anything for them💋
just a fan page 😘",human
827628152411262976,andrea_sorato,ᚠ ᚦ ᚫ ᚱ ᚲ ᚷ ᚹ ᚺ ᚾ ᛁ ᛃ ᛇ ᛈ ᛉ ᛋ ᛏ ᛒ ᛖ ᛗ ᛚ ᛜ ᛞ ᛟ,bot
974977242165055488,Ewa34934453,Fan of Fiorello and Keanu Reeves ♥️🎬😄🎶🎵🐺🐶🐱🦊🦌🐯🐂🐮🐎🐒🐺🐷🐘🐰🐇🐿️🐁🐭🐀🐐🐄🐑🐼🐨🐻🦔🐔🐣🐧🦉🐸🦆🐾and poesia 💙 💚 e la natura 🐸🌻🌹🌲🌳🌱☘️🌿🍃🍂,human
3138084547,InAnalisi,Un'anima antica in un corpo giovane..,human
2919471316,ariacolorata2,,bot
422699535,valentinamoscon,"Artisti preferiti: Valerio Scanu, Jessica Biel
Squadra preferita: Lazio
sport preferito: baseball",bot
1198843740,Jackill22,,human
3027927352,vale20152,,bot
2983904932,tizianafu,,bot
548707617,antonellautopia,,bot
3035505075,_harryobsessed,𝒞𝑜𝓃𝓈𝓉𝒶𝓃𝓉𝓁𝓎 𝑜𝓋𝑒𝓇𝓌𝒽𝑒𝓁𝓂𝑒𝒹 𝒷𝓎 𝓉𝒽𝑒 𝒹𝑒𝓈𝒾𝓇𝑒 𝑜𝒻 𝓉𝓇𝒶𝓋𝑒𝓁𝓁𝒾𝓃𝑔 🗺✈️,bot
4034721759,949905e897cf45a,,bot
977674276936519681,RossRoss5429,,bot
3290568658,GiorgiaAziz1d,"One Direction✨||Styles94,Payne93,Horan93,Tomlinson91||✨.      
ZQUAD. i love you zayn malik.",bot
759150086756589568,TestyMcT3stface,,bot
4149019083,benjifede_love,,bot
393483438,ilbolly,"Agente di viaggio, anzi travel agent che fa più internescional. Qua solo per divertirmi. Can you see the real me? #instagram: @ilbolly",bot
2982479962,mirandamossi,,bot
2853761597,epicfaildrone,,bot
2982567281,topaccia,,bot
804840889067667457,silviapedr2016,,bot
271466783,LoMassi,"Astronauta aerofobico e acrofobico
Contribuisco al cazzeggio generale",human
729045489665052672,FlavianoPeluso,"libero pensatore ed idealista nel tempo libero, altrimenti Avvocato e Prof. a contratto c/o Università della Tuscia e Università di Cassino;",human
1183194624,MARIACARMINATI1,ADORO VALERIO SCANU!!!,bot
53002473,Niebbo,"Veneziano. TEDx speaker. Scrivo su The Vision, Cosmopolitan e Termometro politico. Un libro, un fumetto, sceneggiature. Fan della democrazia.",human
534504035,Hepicuro,navigatore e navigato tra il beffardo e il faceto.,human
1069206085,PaoloBaldo3,"puniteci, sanzionateci se ce lo meritiamo, ma prima sbattete fuori i  LADRI!!!",human
2949925353,SuperPannocchia,,bot
2968800676,DalilaIngrasci2,Art Account - @Lumel__,human
1010978324569640960,1D02685599,,bot
595846370,MariaCamillagl,,bot
2949963189,mielosa69,,bot
326826176,PaoloLagonia,Ricercatore CNR e componente Direttivo Comitato Idonei Assistenti Giudiziari,human
755328987795165184,GIUSPEDU,,human
825395422147522560,EmiliaVS1,,bot
1109829834,EnzaAltieri,"Seri bisogna esserlo,non dirlo,e magari nemmeno sembrarlo",human
1005103898556760064,unfakingnews,"Alerts about fake news, rumors and misinformation around the world (mainly bot and a bit human). @unfaking_es Contact: unfakingnewsbot@gmail.com",human
989081978,mimi_t123,,bot
3102658995,OttoPasser,,human
1005568886098550785,Oned1r3c7ioner,| One Direction➡️| 5SOS 🔝| FANGIRL | Aviciiers |Italy🇮🇹| Liceo Publio Virgilio Marone📚|,human
202212121,Armonja,,bot
1260617916,LaTiger1,Canton Ticino,human
806570189429018624,TheCrewOnTheWeb,@andreadimario82 @fefinus @giorgiocupelli Influencer del mondo social Amanti dell'Automotive https://t.co/YRbzy0G4J3,bot
824224632467312642,babymalik_lh,Vorrei soltanto abbracciarti e poi fermare il tempo. @Zaynmalik @Luke5sos,bot
3042097091,lorettarag,,bot
825410712281501698,pannocchietto2,,bot
750684233857961985,prpeugeotcrew1,Sport,bot
2535033852,MenteObliqua,"Da bambino pippavo Nesquik col mio amico immaginario.
Instagram: https://t.co/J7xoLDONB8",bot
3002946545,eliptz66,,bot
2918679371,anomis_anomis70,,bot
358795296,TuLangheRoero,Official Tourism Board: share your tweets and photos with us! #langheroero Video: https://t.co/XBSZMPqbPv,human
1011723273057554438,Harry00913,,human
2996584924,MaxRossi2015,"La musica è come un ricordo senza origine, un qualcosa che a un certo punto arriva nella tua vita; non hai memoria di questo, ma è come se fosse sempre stata lì",bot
3407591541,CarlaChianese,,bot
1009859481214341120,Denise04955126,,human
826008852567031808,RubinoDue,Insieme uniti.. perché divisi siamo persi 💜,bot
726332639964200960,Aaaarrrrrmmmnnn,io sono arrrmn figlio di azizze,bot
721817054,Fuckeveryonexox,"Quando non mi lamento bevo e faccio fotografie.

Caso pieno a tempo perso™",human
1010610247789096960,voteforlegends5,Vote for one direction and ZAYN,bot
1086442256,CAvenali,"Responsabile Ufficio di Scopo Piccoli Comuni e Contratti di Fiume della Regione Lazio. Economista, Ambientalista, Legambientina.",human
1012110155553570816,MartiAndNiall1,Hiii. VOTE DIRECTIONERS for TeenChoiceAwards,bot
1011995299622064131,1DFamil22117676,1D Family 5sosfamhelpdirectioners 1Direction One Direction Directioners,human
573568763,GiovanniBaldin3,"Architetto, cartonaio, antifascista, antileghista, antigrillista, #facciamorete",human
2920280901,sorriso_blu,,bot
415107191,Salvo1Di,Giornalista,human
2217834630,Dany1Dlove27,Ci sono stelle che poi cadono dal cielo e persone che trasmettono mistero🌸 GMCO 👑,human
202361176,eligigarda,,bot
2579632449,BorsariElena,,human
